molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value
CHEMBL433252,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1cccc(CCCC2CCCC2)n1,450.0,nM,6.35
CHEMBL54750,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1cccc(CCCC2CCCC2)c1,7500.0,nM,5.12
CHEMBL56594,CCCCCCN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,6500.0,nM,5.19
CHEMBL52407,CCCCCCCCc1nc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)no1,100.0,nM,7.00
CHEMBL56449,CCCCCCc1ccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)nc1,240.0,nM,6.62
CHEMBL56752,CCCCCCC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,2000.0,nM,5.70
CHEMBL54749,CCCCCCCCc1cnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)o1,180.0,nM,6.75
CHEMBL301202,CN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,7000.0,nM,5.16
CHEMBL292407,CCCCCCCCN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,1000.0,nM,6.00
CHEMBL53679,CCCCCCCCc1csc(Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)n1,340.0,nM,6.47
CHEMBL299719,CCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,140.0,nM,6.85
CHEMBL55852,CCCCCCc1ccnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,620.0,nM,6.21
CHEMBL56308,CCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)c1,460.0,nM,6.34
CHEMBL57486,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,3000.0,nM,5.52
CHEMBL55541,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1nc(CCCC2CCCC2)cs1,900.0,nM,6.05
CHEMBL293818,CCCCCCNC(=O)N(C)c1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,10000.0,nM,5.00
CHEMBL54885,CNC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,7300.0,nM,5.14
CHEMBL54821,CCCCCCCCc1csc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,1300.0,nM,5.89
CHEMBL53359,CCCCCCCCc1ccnc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,530.0,nM,6.28
CHEMBL291467,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1,63.0,nM,7.20
